"indicator_name","profile","domain","indicator_definition","data_source","inclusion_rationale","diagnostic_code_position","numerator","denominator","type_definition","type_id","disclosure_control","supression","supress_less_than","rounding","age_group","sex","year_type","trends_from","aggregation","update_frequency","available_geographies","confidence_interval_method","notes_caveats","related_publications","supporting_information","last_updated","next_update","interpretation","interpret","source_details","scotpho_profiles","profile_domain1","profile_domain2","profile_domain3","label_inequality","pop_group_splits","profile_domain","scotpho_web_link"
"Alcohol-specific deaths, males","Alcohol, Mental Health","Mental Health-Male adult, Alcohol-Health","Alcohol related deaths (underlying cause): 5-year rolling average number and directly age-sex standardised rate per 100,000 population. 
  
  All rates have been standardised against the European standard population(ESP2013) and 2011-base population estimates.","National Records of Scotland (NRS)",NA,"ICD-10 codes: F10, K70, K73, X45, X65, Y15, G31.2, G62.1, I42.6, K29.2, K74.0, K74.1, K74.2, K74.6, K86.0, (before 1997 ICD-9 code: 291, 303, 3050, 4255, 5710-5715, 5718, 5719,E860 )","Number of alcohol-specific deaths for males","Total male population","Age-sex standardised rate per 100,000","sr","None","N",0,"None","All","Males","Calendar year","2002/06-2019/23","5-year aggregate","Annual","HSC partnership, Alcohol & drug partnership, Council area, Health board, Scotland","Dobson's method","In November 2018 ScotPHO revised alcohol related mortality indicator data to reflect the new National Statistics defintion. These are deaths which are known to be direct consequences of alcohol misuse, meaning they are wholly attributable to alcohol misuse. Time series data has been recalculated based on new diagnotic code selections and may differ to previously published estimates. Year of death based on date of registration.","National Records of Scotland publish annual [Alcohol-specific deaths](https://www.nrscotland.gov.uk/publications/alcohol-specific-deaths-2023/#). Note that NRS figures are based on all deaths occuring in Scotland whereas ScotPHO profile indicators are based on deaths in Scottish residents, which may result in small differences in reported deaths.",NA,"Jan-2025","Winter 2025","Higher numbers are worse","L","Extracted from catalogue (NRS/SMR99)",1,"ALC-Health",NA,NA,NA,NA,"ALC-Health;;","[Alcohol: health harm section](https://www.scotpho.org.uk/risk-factors/alcohol/data/health-harm/)"
"Annual participation (in education, training or employment) measure for 16 – 19 year olds","Health & Wellbeing, Children & young people","Education, Children & young people - Achieving","Number and percentage of 16-19 year olds participating in education, training or employment.","Skills Development Scotland Annual Participation Measure","Sustainable and gainful employment is known to be beneficial to health and quality of life. In 2012 the Scottish Government made an explicit commitment to offer a place in learning or training to every 16-19 year old in Scotland not currently in employment or education. This pledge, detailed in Opportunities for All (OfA), aims to ensure all young people are supported in their path to achieving sustainable employment by equipping them with the knowledge and skills they need to achieve that. 
 
 Since August 2017, the Annual Participation Measure has been the source of the National Performance Framework indicator, “increase the proportion of young people in learning, training or work”.","N/A","Total number of people aged 16-19 included in the participation measure cohort with a classification of participating.","Total number of people aged 16-19 included in the participation measure cohort.","Percentage","%","Values less than 5 are suppressed","Y",5,"None","Aged 16-19","All","Calendar year","2016 -2025","Single year","Annual","Council area, Health board, Scotland","Wilson's Score method","The participation measure cohort is based entirely on records held on the Skills Development Scotland (SDS) customer support system (CSS). 
 The method of calculating the participation measure takes account of all statuses for individuals over the course of the year. The participation classification of each young person is calculated by combining the number of days spent in each status between 1st April and 31st March in the reporting period. The overall participation classification (participating, not participating and unconfirmed) is based on the classification which accounts for the greatest number of days. Only those with status data for the full reporting period i.e. 1st April - 31st March, are inlcuded in the measure.
 The young person is included in the cohort if they are aged 16-19 on or before the 31st March in the reporting period. Those who have subsequently moved out of Scotland or are deceased are excluded.","[Annual participation measure statistics](https://www.skillsdevelopmentscotland.co.uk/publications-statistics/statistics/annual-participation-measure)",NA,"Oct-2025","Sep-2026","Higher numbers are better","H",NA,1,"HWB-Education","CYP-Achieving","CWB-Education",NA,NA,"HWB-Education;CYP-Achieving;CWB-Education","[Income and employment section](https://www.scotpho.org.uk/wider-determinants/income-and-employment/)"
"Asthma patient hospitalisations","Health & wellbeing,Care & wellbeing","Ill health & injury","Patients discharged from hospital (annually) diagnosed with asthma: 3 year rolling average number and directly age-sex standardised rate per 100,000 population.
  
 All rates are standardised against the European standard population(ESP2013) and 2011-base population estimates.","Public Health Scotland (SMR01)",NA,"Main diagnosis ICD10: J45, J46. Principle as you will get a lot of noise from the other diagnosis variables.","Number of patients admitted due to asthma","Total population","Age-sex standardised rate per 100,000","sr","None","N",0,"None","All","All","Financial year","2002/03 - 2023/24","3-year aggregate","Annual","Intermediate zone, HSC locality, HSC partnership, Council area, Health board, Scotland","Dobson's method","Patient is selected only once per year, based on their first asthma related hospital admission that year. Patient's demographic data(age, gender, location) are extracted from the first valid information within that stay.","Public Health Scotland's annual [Acute hospital activity and NHS beds information publication](https://publichealthscotland.scot/publications/acute-hospital-activity-and-nhs-beds-information-annual/) includes breakdowns of the number of asthma diagnoses and hospital admissions.",NA,"Dec-2024","Winter 2025","Higher numbers are worse","L","Public Health Scotland (SMR1/01, Linked Database)",2,"HWB-Ill health & injury",NA,NA,"Patients",NA,"HWB-Ill health & injury;","[Asthma section](https://www.scotpho.org.uk/health-conditions/asthma/)"
"Attempted murder & serious assault","Alcohol; Health and Wellbeing","Community safety; Crime","Number of attempted murder and serious assault crimes recorded by the police and rate per 10,000 population.","Scottish Government",NA,"N/A","Number of attempted murder and serious assault crimes recorded by the police.","Total population","Crude rate per 10,000 population","cr","None","N",0,"None","All","All","Financial year","2015/16 - 2024/25","Single year","Annual"," HSC, Council area, Health board, ADP, Scotland","Byar's approximation","These data were extracted from the Police Scotland data repository, called the Source for Evidence Based Policing (SEBP). Prior to 2020/21, the data were collected from the Scottish Operational and Management Information System (ScOMIS). The Scottish Government found [strong alignment](https://www.gov.scot/binaries/content/documents/govscot/publications/statistics/2024/06/recorded-crime-scotland-2023-24/documents/recorded-crime-scotland-2023-24/recorded-crime-scotland-2023-24/govscot%3Adocument/recorded-crime-scotland-2023-24.pdf#page=64) between the administrative systems. 

[Serious assault](https://www.gov.scot/publications/recorded-crime-scotland-attempted-murder-serious-assault-2008-09-2017-18/pages/6/) refers to any attack where the victim needs hospital inpatient treatment or has any fractures/broken bones, internal injuries, severe concussion, lacerations that require stitches which may lead to impairment or disfigurement, or any other injury which may lead to impairment or disfigurement. [Attempted murder](https://www.gov.scot/publications/recorded-crime-scotland-attempted-murder-serious-assault-2008-09-2017-18/pages/6/) is defined as attempting to kill without necessary cause, or acting in a way so reckless as to show the perpetrator was utterly regardless of the consequences.

This indicator measures recorded crimes and offences combined in contrast to the Scottish Government which refers to these separately. Intermediate zones named ""Hillhead"" in Glasgow City council area and ""Western Edge"" in Dundee council area have been removed as the data could not be linked. ","[Recorded crime in Scotland statistics](https://www.gov.scot/collections/recorded-crime-in-scotland/)",NA,"Oct-2025","Oct-2026","Higher numbers are worse","L","Police Scotland - Source for Evidence-Based Policing",2,"ALC-Community safety","HWB-Crime",NA,NA,NA,"ALC-Community safety;; HWB-Crime;;","[Crime and violence section](https://www.scotpho.org.uk/wider-determinants/crime-and-violence/)"
"Attempts to purchase cigarettes","Tobacco","Smoking in school children","Percentage of S2 and S4 pupils participating in the sampling frame for the SALSUS (Scottish Schools Adolescent Lifestyle and Substance Use Survey) survey, who bought or tried to buy cigarettes from any kind of shop, supermarket or van in the last 4 weeks (at the time of the survey)","Scottish Schools Adolescent Lifestyle and Substance Use Survey (SALSUS)",NA,"N/A","Number of S2 and S4 pupils participating in the sampling frame for the SALSUS (Scottish Schools Adolescent Lifestyle and Substance Use Survey) survey, who bought or tried to buy cigarettes from any kind of shop, supermarket or van in the last 4 weeks (at the time of the survey)","Number of S2 and S4 pupils participating in the sampling frame for the SALSUS (Scottish Schools Adolescent Lifestyle and Substance Use Survey) survey.","Percentage","%","Values less than 10 are suppressed","Y",10,"None","S2 and S4 pupils","All","Year","2010 - 2013","Single year","After SALSUS publication (irregular update)","Council area, Health board, Scotland",NA,NA,NA,NA,"Jan-2015","Archived","Higher numbers are worse","L","SALSUS - request from Public Health Scotland SALSUS team?",1,"TOB-Smoking in school children",NA,NA,NA,NA,"TOB-Smoking in school children;;",NA
"Availability of smoking cessation products","Tobacco","Smoking cessation","Crude rate of smoking cessation products prescribed in defined daily doses (DDDs) per 1,000 population aged 12 and over per day.","Public Health Scotland (Prescribing Information System)",NA,"N/A","Defined daily doses (DDDs) of smoking cessation products","Population over 12","Crude rate per 1,000 population","cr","None","N",0,"None","Over 12","All","Financial year","2002/03 - 2021/22","Single year","Annual","Council area, Health board, Scotland","Byar's approximation","Numerator is divided by 365 as we show the Defined daily doses (DDDs) per day (which is distinct from DDDs)","[NHS Stop Smoking Services Scotland statistics](https://publichealthscotland.scot/publications/nhs-smoking-cessation-service-statistics-scotland-annual/)",NA,"Nov-2022","TBC","Higher numbers are better","H","PSI, Prescribing team",1,"TOB-Smoking cessation & smoking cessation products",NA,NA,NA,NA,"TOB-Smoking cessation & smoking cessation products;;","[Smoking cessation section](https://www.scotpho.org.uk/risk-factors/tobacco-use/data/smoking-cessation/)"
"Babies exclusively breastfed at 6-8 weeks","Health & wellbeing, Children & young people","Women's & children's health, Children & young people - Nurtured","Number of babies reported by parent as being exclusively breastfed at 6-8 week review; 3-year rolling average number and percentage of all babies with a valid feeding status recorded at 6-8 week review.","Child Health Systems Programme Pre-school (CHSP-PS), Public Health Scotland","Every child has the right to be nurtured so that they thrive and develop into a healthy child, young person and adult. Being breastfed in infancy is highly beneficial for health in childhood and in later life. It is considered one of the most critical behaviours for health promotion and protection, and the World Health Organization recommends that babies are breastfed exclusively until six months of age.","N/A","Total number of babies reported as being exclusively breastfed at 6-8 week review","Total number of babies with a valid feeding status recorded at 6-8 week review","Percentage","%","None","N",0,"None","Babies at 6-8 weeks","All","Financial year","2002/03-2004/05 to 2021/22-2023/24","3-year aggregate","Annual","Intermediate zone, HSC locality, HSC partnership, Council area, Health board, Scotland","Wilson's Score method","These statistics are derived from breastfeeding data recorded at the 6-8 week review, for NHS Boards in Scotland which participate in the Child Health Systems Programme Pre-School system (CHSP-PS). 
 
  Among participating NHS Boards, the majority of 6-8 week reviews are carried out before babies are 9 weeks old. The maximum age limit for the 6-8 week review is recommended as 12 weeks. Variation in the timing of the 6-8 week review may affect the reported rates as there is a known drop-off in breastfeeding rates with time.
 
  The number of NHS Boards using the CHSP Pre-School system and recording data has increased since 2003/04 from 10 to all 14 NHS Boards in Scotland. NHS Western Isles have recorded data from 2006/07, NHS Shetland from 2008/09, and NHS Grampian and NHS Orkney from 2010/11. Data for NHS Grampian and NHS Orkney for 2010/11 are partial. In addition it should be noted that NHS Highland did not fully implement the system until May 2007. Further information regarding data quality and completeness can be obtained from the Breastfeeding Statistics Scotland linked in related publications.","[Infant feeding statistics](https://publichealthscotland.scot/publications/infant-feeding-statistics)",NA,"Jan-2025","Jan-2026","Higher numbers are better","H","CHSP-S - Internal request to maternity team",2,"HWB-Women's & children's health","CYP-Nurtured","CWB-Early years","Babies",NA,"HWB-Women's & children's health;CYP-Nurtured;","[Pregnancy, births and maternity: infant feeding and breastfeeding section](https://www.scotpho.org.uk/population-dynamics/pregnancy-births-and-maternity/data/infant-feeding-and-breastfeeding/)"
"Bowel screening uptake","Health & wellbeing,Care & wellbeing","Immunisations and screening","Bowel screening uptake for all eligible men and women invited (aged 50-74): 3-year rolling average number percentage.","Scottish Bowel Screening Database (Public Health Scotland)",NA,"N/A","Number of people completing a screening test","Number of people invited","Percentage","%","None","N",0,"None","50-74","All","Calendar year","2008 - 2023","3-year aggregate","Annual","Intermediate zone, HSC locality, HSC partnership, Council area, Health board, Scotland","Wilson's Score method","The Scottish Bowel Screening Programme invites those aged 50 to 74 to be screened every two years. Participants are sent a test kit to their home and return a sample from a bowel motion to the Bowel Screening Laboratory. Those with a positive test result are referred to their health board of residence for follow-up, with the majority receiving a colonoscopy.
 
 The programme was paused in March 2020 due to the Covid-19 pandemic, and resumed in October 2020. As a result, the screening population for 2020 will be smaller than previous years.
 
 The Scottish Bowel Screening Programme commenced a phased roll out in June 2007 and by December 2009 all NHS Boards in Scotland were participating in the Programme. All men and women registered with a Community Health Index (CHI) number and aged 50-74 years are invited to participate and be screened every two years.
 
 Eligible age range in the Scottish Bowel Screening Programme is 50 - 74 years, however the dataset shows persons aged 49 and persons aged 75 too, due to the fact that there are issues with odd timing of invitations and how it gets recorded in the system.
  
 2007 not included as it only started in June.","[Scottish bowel screening programme statistics](https://publichealthscotland.scot/publications/scottish-bowel-screening-programme-statistics/)","[About bowel screening in Scotland](https://publichealthscotland.scot/population-health/conditions-and-diseases/disease-screening/bowel-screening/overview/what-is-bowel-cancer-screening/)","Apr-2025","Apr-2026","Higher numbers are better","H","Public Health Scotland Cancer Team - phs.cancerstats@phs.scot",2,"HWB-Immunisations & screening","CWB-Impact of ill health prevention",NA,"Screening uptake",NA,"HWB-Immunisations & screening;","[Screening section](https://www.scotpho.org.uk/health-conditions/screening/data/)"
"Threatening and Abusive Behaviour","Alcohol; Health and Wellbeing","Community safety; Crime","Number of crimes classified as threatening and abusive behaviour recorded by the police (including threatening or abusive behaviour and breach of the peace) and rate per 10,000 population.","Scottish Government",NA,"N/A","Number of threatening and abusive behaviour crimes recorded by the police.","Total population","Crude rate per 10,000 population","cr","None","N",0,"None","All","All","Financial year","2015/16 - 2024/25","Single year","Annual"," HSC, Council area, Health board, ADP, Scotland","Byar's approximation","These data were extracted from the Police Scotland data repository, called the Source for Evidence Based Policing (SEBP). Prior to 2020/21, the data were collected from the Scottish Operational and Management Information System (ScOMIS). The Scottish Government found [strong alignment](https://www.gov.scot/binaries/content/documents/govscot/publications/statistics/2024/06/recorded-crime-scotland-2023-24/documents/recorded-crime-scotland-2023-24/recorded-crime-scotland-2023-24/govscot%3Adocument/recorded-crime-scotland-2023-24.pdf#page=64) between the administrative systems. 

These figures include the crimes of Threatening and Abusive Behaviour and Breach of the Peace. Breach of the Peace is differentiated from Threatenign and Abusive Behaviour in that it must ""threaten serious disturbance to the community"", whereas Threatening and Abusive Behaviour does not require a public element.

The [Domestic Abuse (Scotland) Act 2018](https://www.gov.scot/publications/recorded-crime-scotland-2023-24/pages/19/), which was enacted in 2019/20, specified that where offenses that historically constituted Breach of the Peace formed part of a domestic abuse incident, they should be recorded under the new offense of Domestic Abuse. Therefore, caution should be taken when comparing with years prior to the change. 

This indicator measures recorded crimes and offences combined in contrast to the Scottish Government publication which refers to these separately. Intermediate zones named ""Hillhead"" in Glasgow City council area and ""Western Edge"" in Dundee council area have been removed as the data could not be linked. 

This indicator was previously known as ""Breach of the Peace"" and has changed name to align with changes in crime groupings at the Scottish Government.","[Recorded crime in Scotland statistics](https://www.gov.scot/collections/recorded-crime-in-scotland/)",NA,"Oct-2025","Oct-2026","Higher numbers are worse","L","Police Scotland - Source for Evidence-Based Policing",2,"ALC-Community safety","HWB-Crime",NA,NA,NA,"ALC-Community safety;; HWB-Crime;;","[Crime and violence section](https://www.scotpho.org.uk/wider-determinants/crime-and-violence/)"
"Breast screening uptake","Health & wellbeing,Care & wellbeing","Immunisations and screening","Breast screening uptake for all eligible women aged 50-70 (routine appointments)","Public Health Scotland (ATOS)",NA,"N/A","Number of people completing a screening test","Number of people invited","Percentage","%","None","N",0,"None","-","Females","Year","2007/09 - 2010/12","3-year aggregate","-","Council area, Health board","Wilson's Score method",NA,NA,NA,"Oct-2015","Archived","Higher numbers are better","H",NA,2,"HWB-Immunisations & screening","CWB-Impact of ill health prevention",NA,"Screening uptake",NA,"HWB-Immunisations & screening;CWB-Impact of ill health prevention;",NA
"Cancer registrations","Health & wellbeing","Ill health & injury","New cancer registrations: 3 year rolling average number and directly age-sex standardised rate per 100,000 population. 
  
  All rates have been standardised against the European standard population(ESP2013) and 2011-base population estimates.","Public Health Scotland (SMR06)",NA,"ICD10: C00-C96 excluding C44 (principal diagnosis only).","Number of cancer registrations","Total population","Age-sex standardised rate per 100,000","sr","None","N",0,"None","All","All","Calendar year","2002/04 - 2020/22","3-year aggregate","Annual","HSC locality, HSC partnership, Council area, Health board, Scotland","Dobson's method",NA,"[Cancer incidence in Scotland](https://publichealthscotland.scot/publications/cancer-incidence-in-scotland/)",NA,"Dec-2024","Winter 2025","Higher numbers are worse","L","Public Health Scotland Cancer Team or extracting directly from Scottish Cancer Registry (SMR06)",1,"HWB-Ill health & injury",NA,NA,"Registrations",NA,"HWB-Ill health & injury;;","[Cancer section](https://www.scotpho.org.uk/health-conditions/cancer/)"
"Child dental health in primary 1","Health & wellbeing, Children & young people","Women's & children's health, Children & young people - Healthy","Number and percentage of Primary 1 children receiving a letter 'C' (no obvious decay experience but should continue to see the family dentist on a regular basis) at basic inspection.","National Dental Inspection Programme Basic Inspection, Public Health Scotland",NA,"N/A","Number of Primary 1 children receiving a letter 'C' at basic inspection","Total number of Primary 1 children receving a basic inspection","Percentage","%","None","N",0,"None","Primary 1 (approx. age 5)","All","School year","2012/13 - 2023/24","Single year","Annual","Intermediate zone, HSC locality, HSC partnership, Council area, Health board, Scotland","Wilson's Score method (using finite population correction factor)","The National Dental Inspection Programme (NDIP) is an annual programme aimed at informing parents/carers of the oral health status of their children. Appropriately anonymised and aggregated data from the programme is used to advise the Scottish Government, NHS Boards and other organisations of oral disease prevalence at national and local levels. This ensures that reliable oral health information is available for planning initiatives directed towards health improvements. 
 
 Numbers are based on the postcode of the child’s home address and not the postcode of the school where the child was inspected. There may be some slight differences between profiles and other published data due to the different methods used when matching pupils to their respective geographies. This issue only has a minor effect on Lanarkshire and Greater Glasgow and Clyde NHS Board figures and does not impact on the overall Scotland figures.
 
 Please not that due to the pandemic, there was no NDIP conducted for the school year 2020/21. For 2021/22, there was no inspections carried out in NHS Western Isles, and a very small number of inspections carried out in NHS Highland. ","[National dental inspection programme statistics](https://publichealthscotland.scot/publications/national-dental-inspection-programme/)","The Public health scotland website contains an [overview of dental health](https://publichealthscotland.scot/healthcare-system/primary-care/dental-care/overview/). Further information about the national dental inspection programme can also be found on the [NDIP website](https://ndip.scottishdental.org/).","Jan-2025","Winter 2025","Higher numbers are better","H",NA,2,"HWB-Women's & children's health","CYP-Healthy",NA,"Childhood dental health",NA,"HWB-Women's & children's health;CYP-Healthy;","[Oral health section](https://www.scotpho.org.uk/health-conditions/oral-health/)"
